table	field	description	missing_value_policy
Table_S2_source_label_mapping.tsv	record_id	Unique dataset–source-label–panel record identifier.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	dataset_id	Frozen project dataset identifier.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	accession	Repository accession recorded in the dataset manifest.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	species	Governed species name.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	tissue	Recorded or proposed tissue when available.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	panel	Frozen root, leaf, or vascular panel; blank when no governed panel mapping exists.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	source_label_field	Standardized H5AD obs field read for source labels.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	source_label	Unmodified standardized source-label value.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	ontology_id	Frozen ontology candidate identifier(s), if available.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	governed_level	Frozen hierarchy level assigned to an accepted mapping.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	governed_label	Accepted coarse governed label.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	parent_label	Parent panel for an accepted governed label.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	mapping_status	mapped, unknown, excluded, ambiguous, unmapped, or source_unavailable.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	mapping_reason	Frozen rule, exclusion, ambiguity, or gap explaining mapping status.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	cells_n	Cells with the dataset/source-label value.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	source_authority	Source records supporting the row.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	source_path	Semicolon-separated source and governance paths.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	source_hash	Semicolon-separated source-record SHA-256 values.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	coverage_scope	Completeness scope represented by the row.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_source_label_mapping.tsv	gap_flags	Explicit unresolved limitation(s).	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	panel	Frozen root, leaf, or vascular panel; blank when no governed panel mapping exists.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	source_label	Unmodified standardized source-label value.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	ontology_id	Frozen ontology candidate identifier(s), if available.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	ontology_name	Name in the pinned ontology asset.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	governed_level	Frozen hierarchy level assigned to an accepted mapping.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	governed_label	Accepted coarse governed label.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	parent_label	Parent panel for an accepted governed label.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	mapping_status	mapped, unknown, excluded, ambiguous, unmapped, or source_unavailable.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	mapping_reason	Frozen rule, exclusion, ambiguity, or gap explaining mapping status.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	accepted	Whether the frozen hierarchy decision is accepted.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	approval_scope	Scope under which the label decision was approved.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	aggregate_cells	Candidate-stage aggregate cell count.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	aggregate_datasets	Candidate-stage dataset count.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	aggregate_species	Candidate-stage species count.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	source_path	Semicolon-separated source and governance paths.	Blank means unavailable or not applicable; never interpret as zero.
Table_S2_label_hierarchy_dictionary.tsv	source_hash	Semicolon-separated source-record SHA-256 values.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	dataset_id	Frozen project dataset identifier.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	accession	Repository accession recorded in the dataset manifest.	Blank means unavailable or not applicable; never interpret as zero.
